Property Id,Property_Type,Number of Buildings,Year_Built,Property_GFA,Site_Energy,Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Emissions_CO2,Emissions_Intensity,Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity,Natural_Gas,Year Ending,Precipitation,Corn_Heat_Unit,Heating_Degree_Days,Cooling_Degree_Days
6169481,Office,1,1981,7770,10118,9899.1,1.3,1.27,13838.4,13609.3,1.78,1.75,1043.6,134.3,323.9,41.7,1058318.4,6308.2,2019,416.3,"1,926.00","5,335.70",20.6
6305956,Office,1,1974,6681,4792.7,4706.3,0.72,0.7,7582.1,7467.1,1.13,1.12,604,90.4,1.3,0.2,536058.2,24.5,2019,416.3,"1,926.00","5,335.70",20.6
6506773,Office,1,2008,14548,11983.9,11805.9,0.82,0.81,16788.6,16608.8,1.15,1.14,1293.7,88.9,362.1,24.9,1369892.9,7052.5,2019,416.3,"1,926.00","5,335.70",20.6
6731628,Office,1,2017,5223,3653.5,3588.3,0.7,0.69,5047.8,4981.9,0.97,0.95,381,72.9,110.9,21.2,397195.5,2159.1,2019,416.3,"1,926.00","5,335.70",20.6
6867796,Office,1,1990,540,506.1,494.7,0.94,0.92,647.2,635.7,1.2,1.18,45.7,84.6,18.6,34.5,39766.8,363,2019,416.3,"1,926.00","5,335.70",20.6
8854296,Office,1,1979,17468,14092.5,13802.8,0.81,0.79,21279.1,20904.9,1.22,1.2,1624.9,93,48.9,2.8,1252457.8,951.3,2019,416.3,"1,926.00","5,335.70",20.6
8854297,Office,1,1931,15195,8004.4,7913.3,0.53,0.52,11084.4,10990.7,0.73,0.72,845.4,55.6,248.9,16.4,877207.7,4846.6,2019,416.3,"1,926.00","5,335.70",20.6
8854298,Office,1,1982,85941,87455.3,85739.7,1.02,1,138141.5,135868.5,1.61,1.58,10999.9,128,59.1,0.7,9786193.4,1150.4,2019,416.3,"1,926.00","5,335.70",20.6
8854299,Office,1,1978,3664.9,2984.4,2903.5,0.81,0.79,3905.3,3823.6,1.07,1.04,282.3,77,105.1,28.7,260547.4,2046.4,2019,416.3,"1,926.00","5,335.70",20.6
9265818,Ice/Curling Rink,1,1990,12856,28552.5,27852.4,2.22,2.17,38068.1,37361,2.96,2.91,2802.5,218,967.2,75.2,2698969.1,18836.6,2019,416.3,"1,926.00","5,335.70",20.6
9469974,Fire Station,1,1973,1637.5,1957.8,1853.9,1.2,1.13,2584.1,2479.2,1.58,1.51,188.4,115,67.7,41.4,177406,1319.2,2019,416.3,"1,926.00","5,335.70",20.6
9474562,Ice/Curling Rink,1,1971,4189.8,14754.6,14480.6,3.52,3.46,18503.9,18196.4,4.42,4.34,1279.1,305.3,563,134.4,1053185.7,10963.3,2019,416.3,"1,926.00","5,335.70",20.6
9475593,Ice/Curling Rink,1,1970,3884,5134.2,4958.6,1.32,1.28,6654.6,6440.9,1.71,1.66,476.3,122.6,184.2,47.4,429567.2,3587.9,2019,416.3,"1,926.00","5,335.70",20.6
9481172,Heated Swimming Pool,1,1976,1641.2,10792.1,10665.1,6.58,6.5,12910.9,12782.6,7.87,7.79,845.3,515.1,445.5,271.4,588007.7,8675.3,2019,416.3,"1,926.00","5,335.70",20.6
9492075,Ice/Curling Rink,2,1963,8558,27132.2,26637.8,3.17,3.11,35568.9,35069.6,4.16,4.1,2575.5,300.9,951.9,111.2,2387651.3,18537,2019,416.3,"1,926.00","5,335.70",20.6
9493731,Ice/Curling Rink,1,1975,2295.5,4854.8,4779.3,2.11,2.08,6273,6196.7,2.73,2.7,447.6,195,175.3,76.4,400499.2,3413.1,2019,416.3,"1,926.00","5,335.70",20.6
