Air_Temp_Avg,Relative_Humidity_Avg,Wind_Speed_10m_Avg,Heating_kWh,Electricity_kWh,Cooling_kWh,Natural_Gas_kWh,Domestic_Water_m3
-1.2,90.3,9.1,16244.45744,13240.10000000149,4920.6632653,1319.4455,6.39
-2.9,94.8,13.4,17772.23644,13108.559999998659,4882.564026200001,1413.89002,49.96
-3.3,81.7,9.0,16852.79126,13307.63000000082,5163.912253400001,1288.88992,101.98
-2.2,82.2,8.4,15450.01236,12917.940000001341,5117.0208822,1422.2233600000002,110.85
-0.9,72.4,4.5,13422.232960000001,10770.249999998137,5225.4571780999995,1413.89002,106.5
1.5,64.0,5.5,11633.34264,10623.759999997914,5243.0414423,1380.55666,94.6
2.0,66.0,6.4,11255.564560000003,11013.11000000313,5178.565806900001,1327.7788400000002,93.07
-1.8,89.1,15.0,15102.78986,13130.410000000149,5187.357939,1341.66774,99.34
-3.9,89.4,11.2,18547.23706,12965.900000000373,5313.3784991,1272.22324,106.82
-2.2,90.4,13.7,16936.12466,13287.640000000596,5459.9140341,1305.5566000000001,111.36
0.6,78.6,9.7,14272.233640000002,12903.919999998063,5442.3297699,1244.4454400000002,94.27
5.5,63.8,27.4,10219.45262,11309.640000000596,5319.2399205,1216.6676400000001,108.24
-1.4,80.7,16.1,15433.345680000002,11046.539999999106,5676.786625900001,1244.4454400000002,94.08
2.7,57.2,10.3,12605.56564,13375.379999998957,5134.6051464,1236.1121,94.76
10.8,39.7,15.2,7911.117440000001,13900.050000000745,5310.447788400001,1255.55656,51.86
9.7,42.6,8.2,7652.7839,13740.799999998882,9176.0552017,1341.66774,19.9
11.6,32.5,7.9,5794.44908,13641.5800000038,7402.975228200001,1244.4454400000002,7.34
11.5,31.4,10.1,5705.56012,13419.169999998063,5653.3409403000005,1213.8898600000002,14.44
5.4,57.7,7.6,6672.22756,11447.119999997318,5248.9028637,1141.6675800000003,10.27
8.7,51.0,10.8,5666.6712,11654.820000004023,4973.4160579,1111.112,12.71
3.5,61.9,6.8,6886.116620000001,13777.070000000298,5354.408448900001,1119.4453400000002,2.91
3.4,61.6,10.7,7616.672760000001,13574.189999995753,5547.8353551,1111.112,9.17
5.0,58.4,5.0,7927.78412,13154.300000000745,5498.013273200001,1172.22316,6.14
8.2,55.2,11.7,8511.11792,13508.660000002012,5788.153632500001,1180.5565000000001,13.25
7.6,47.4,13.4,9977.78576,13139.240000000224,5225.4571780999995,1183.33428,8.94
7.2,57.8,13.2,10341.674939999999,10973.999999998137,5363.200581000001,1147.22314,7.7
5.8,47.8,16.2,11608.342620000001,11063.300000000745,5202.011492500001,1200.00096,0.09
5.1,53.2,13.0,11777.7872,13139.720000002533,5228.3878888,1288.88992,7.11
4.7,49.5,9.5,10019.45246,13720.339999999851,5108.2287501,1241.66766,8.5
5.3,40.1,15.8,12461.12108,13458.079999998212,5483.359719700001,1188.88984,13.04
5.4,41.5,14.1,12397.232140000002,13574.390000000596,5313.3784991,1127.77868,15.84
2.6,66.2,20.7,13280.566180000002,13240.0,5823.322160900001,0.0,19.64
0.5,87.8,14.4,14811.12296,11285.85000000149,5738.3315506,0.0,12.48
4.1,65.6,12.1,13183.34388,12006.53999999538,5366.1312917,0.0,3.19
4.8,63.1,18.0,14141.67798,13164.000000001863,5653.3409403000005,0.0,0.19
-5.6,78.8,17.2,19547.23786,13511.280000001192,5544.9046444000005,0.0,19.51
-8.7,85.3,6.3,22169.462180000002,13230.98999999836,5058.406668200001,0.0,11.1
-8.0,74.0,8.4,21608.350620000005,13338.740000002086,5058.406668200001,0.0,15.42
-8.8,70.4,8.4,21422.239360000003,12869.339999999851,4988.0696114,0.0,14.71
