Realname,Name,Date,Air_Temp_Avg,sum(Heating_kWh),sum(Cooling_kWh),sum(Electricity_kWh),sum(Natural_Gas_kWh),sum(Domestic_Water_m3)
EEEL,b1,2018-10,3.5935483870967735,354675.28374,170142.40968850008,393887.61000000127,38697.25318000001,1481.4299999999998
EEEL,b1,2018-11,-0.6566666666666667,445608.68982,148493.24974760006,374273.6899999976,0.0,254.37000000000003
EEEL,b1,2018-12,-3.5161290322580645,500208.7335,151092.79013850002,361703.0800000001,0.0,119.60000000000002
EEEL,b1,2019-01,-3.938709677419355,529461.53468,151904.59700240006,383496.5800000001,0.0,165.04999999999998
EEEL,b1,2019-02,-18.524999999999995,855939.5736400001,129716.18629269999,336581.3500000015,0.0,175.39
EEEL,b1,2019-03,-3.293548387096774,544572.65788,153097.39625730002,373351.5999999996,0.0,212.16000000000005
EEEL,b1,2019-04,4.826666666666667,333383.60004,155087.34882259998,337083.3100000024,170141.80278000003,101.92000000000002
EEEL,b1,2019-05,8.90967741935484,260200.20816,171634.1414348,328966.69000000134,173997.36142,139.39000000000001
EEEL,b1,2019-06,13.606666666666664,81779.23314000003,203432.3525298,323337.27999999933,170600.13648,207.86000000000004
EEEL,b1,2019-07,15.66451612903226,126325.10106,269380.77106,346182.8400000017,188958.48450000002,155.83999999999997
EEEL,b1,2019-08,15.27741935483871,188416.81739999997,253933.53648000004,338571.13999999873,184702.92554000003,152.44
EEEL,b1,2019-09,10.736666666666668,145194.56059999997,190591.81914000004,336561.1500000004,172819.58270000003,375.78
EEEL,b1,2019-10,2.016129032258065,100211.19128000003,144727.28649810003,380875.51000000164,168269.57905999993,2251.6800000000003
EEEL,b1,2019-11,-2.25,112894.53476000001,133230.10842200002,347818.99999999814,162861.2414,2777.130000000001
EEEL,b1,2019-12,-4.864516129032258,107177.86351999998,139645.43414429997,345365.5900000017,166725.13338,2985.640000000001
EEEL,b1,2020-01,-8.803225806451614,85452.84614,145826.3030106,368174.5449999999,199969.60442,2313.98
EEEL,b1,2020-02,-3.668965517241378,194539.04452000002,142461.847127,351065.48700000346,192986.26550000004,156.59
EEEL,b1,2020-03,-4.5516129032258075,423384.01370694005,144190.57958618758,341894.86399999727,209085.15060131997,133.19
EEEL,b1,2020-04,2.2766666666666664,342986.18827762,144251.485615955,292516.3589999974,164939.70417388,40.58247999999999
EEEL,b1,2020-05,9.509677419354837,261276.57568776002,181957.50539991457,299184.5710000042,175715.19890538006,47.71986999999999
EEEL,b1,2020-06,13.783333333333335,167371.36445254003,208900.62788152706,299055.08999999985,175063.46227288,79.63630999999998
