Realname,Name,Date,Air_Temp_Avg,sum(Heating_kWh),sum(Cooling_kWh),sum(Electricity_kWh),sum(Natural_Gas_kWh),sum(Domestic_Water_m3)
Professional Faculties,b4,2018-10,3.5935483870967735,179416.8102,0.0,260852.91145999578,0.0,779.4999999999998
Professional Faculties,b4,2018-11,-0.6566666666666667,233841.85374000002,0.0,264894.77104000014,0.0,603.6
Professional Faculties,b4,2018-12,-3.5161290322580645,243427.97252000004,0.0,224587.87811000552,0.0,317.20000000000005
Professional Faculties,b4,2019-01,-3.938709677419355,285264.11710000003,0.0,276629.5018699964,0.0,730.8999999999999
Professional Faculties,b4,2019-02,-18.524999999999995,430433.6776799999,0.0,296037.0235800003,0.0,600.6000000000001
Professional Faculties,b4,2019-03,-3.293548387096774,271627.9965,0.0,252984.36022000294,0.0,720.8000000000001
Professional Faculties,b4,2019-04,4.826666666666667,120147.31834000001,0.0,228730.9326899978,0.0,510.50000000000017
Professional Faculties,b4,2019-05,8.90967741935484,70658.38986000001,21552.4464878,160574.2732099958,0.0,314.09999999999997
Professional Faculties,b4,2019-06,13.606666666666664,16825.013460000002,127777.52176320001,147619.67485000246,0.0,274.09999999999997
Professional Faculties,b4,2019-07,15.66451612903226,0.0,225213.39484220007,191746.16767999873,0.0,354.4000000000001
Professional Faculties,b4,2019-08,15.27741935483871,134461.21868000002,184541.81454000002,207597.41812000453,0.0,221.99999999999997
Professional Faculties,b4,2019-09,10.736666666666668,160189.01704,63991.71666,229511.93929000018,0.0,621.1
Professional Faculties,b4,2019-10,2.016129032258065,246947.41978000003,3601.8434503000003,221578.9623899986,0.0,715.1
Professional Faculties,b4,2019-11,-2.25,326608.59462,0.0,225350.47269000183,0.0,482.1
Professional Faculties,b4,2019-12,-4.864516129032258,392780.86978,0.0,230421.69327999713,0.0,240.1
Professional Faculties,b4,2020-01,-8.803225806451614,402322.5440800001,0.0,220925.69451200456,0.0,495.9
Professional Faculties,b4,2020-02,-3.668965517241378,340203.04994000006,0.0,189307.72919999677,0.0,1565.3000000000002
Professional Faculties,b4,2020-03,-4.5516129032258075,377602.5937485001,0.0,185044.6548885015,0.0,6337.3
Professional Faculties,b4,2020-04,2.2766666666666664,219547.31452659998,0.0,152865.28624600123,0.0,50.10000000000001
Professional Faculties,b4,2020-05,9.509677419354837,161816.52111978002,75.23720509040001,143990.33924399977,0.0,63.699999999999996
Professional Faculties,b4,2020-06,13.783333333333335,112851.0763919,113571.47919626441,132991.218759,0.0,80.50000000000001
Professional Faculties,b4,2020-07,16.60322580645161,202069.68665562,263175.57300489314,186520.00441700008,0.0,81.99999999999999
Professional Faculties,b4,2020-08,17.22258064516129,197200.46609358003,264891.72099233494,200530.17100900004,0.0,59.89999999999999
Professional Faculties,b4,2020-09,12.62,299214.29770458007,129948.61163155644,201524.94466199994,0.0,72.50000000000001
Professional Faculties,b4,2020-10,2.4870967741935486,434283.95298244007,28245.266552729503,210410.808143,0.0,50.900000000000006
Professional Faculties,b4,2020-11,-0.6799999999999997,407613.80109078,0.0,207627.97627500005,0.0,44.55
Professional Faculties,b4,2020-12,-2.464516129032258,394290.41820986004,0.0,195926.67589699995,0.0,33.70000000000002
Professional Faculties,b4,2021-01,-4.529032258064516,466402.91756648,0.0,203753.5172930002,0.0,50.8
Professional Faculties,b4,2021-02,-12.628571428571428,546962.0764582001,0.0,191359.0464809999,0.0,39.00000000000001
Professional Faculties,b4,2021-03,1.7967741935483867,408251.67798997,0.0,204257.08330500015,0.0,53.50000000000001
Professional Faculties,b4,2021-04,4.203333333333333,351836.52313566004,0.0,190698.68510700014,0.0,32.7
Professional Faculties,b4,2021-05,8.996774193548385,308586.4718689801,61046.24962084151,169378.87491800002,0.0,31.100000000000005
Professional Faculties,b4,2021-06,17.540000000000003,168092.56706514,260675.60351002563,157881.16356400005,0.0,42.699999999999996
Professional Faculties,b4,2021-07,19.3483870967742,124651.24138758001,269283.91557350016,146614.24682600025,0.0,49.99999999999999
Professional Faculties,b4,2021-08,16.609677419354842,164431.37043388002,201106.3514874399,153969.51405199987,0.0,70.2
Professional Faculties,b4,2021-09,12.993333333333332,177806.65891188002,114964.29572587219,157129.09654600013,0.0,245.4
