"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","01-January-2018","-32.2","ACTUAL","100.0","-3.6","ACTUAL","100.0","-18.7","AGGREGATED","100.0","70.2","AGGREGATED","100.0","6.8","AGGREGATED","100.0"
"Calgary Int'L CS","02-January-2018","-11.6","ACTUAL","100.0","0.8","ACTUAL","100.0","-5.8","AGGREGATED","100.0","66.9","AGGREGATED","100.0","5.9","AGGREGATED","100.0"
"Calgary Int'L CS","03-January-2018","-10.1","ACTUAL","100.0","6.4","ACTUAL","100.0","-3.7","AGGREGATED","100.0","71.2","AGGREGATED","100.0","4.5","AGGREGATED","100.0"
"Calgary Int'L CS","04-January-2018","-12.0","ACTUAL","100.0","4.0","ACTUAL","100.0","-6.4","AGGREGATED","100.0","80.3","AGGREGATED","100.0","4.2","AGGREGATED","100.0"
"Calgary Int'L CS","05-January-2018","-12.4","ACTUAL","100.0","9.6","ACTUAL","100.0","-1.6","AGGREGATED","100.0","70.6","AGGREGATED","100.0","7.3","AGGREGATED","100.0"
"Calgary Int'L CS","06-January-2018","-4.0","ACTUAL","100.0","7.9","ACTUAL","100.0","3.3","AGGREGATED","100.0","63.6","AGGREGATED","100.0","16.4","AGGREGATED","100.0"
"Calgary Int'L CS","07-January-2018","-8.6","ACTUAL","100.0","3.7","ACTUAL","100.0","-1.2","AGGREGATED","100.0","65.7","AGGREGATED","100.0","9.8","AGGREGATED","100.0"
"Calgary Int'L CS","08-January-2018","-6.2","ACTUAL","100.0","8.8","ACTUAL","100.0","1.4","AGGREGATED","100.0","65.8","AGGREGATED","100.0","7.1","AGGREGATED","100.0"
"Calgary Int'L CS","09-January-2018","-18.1","ACTUAL","100.0","-1.8","ACTUAL","100.0","-10.0","AGGREGATED","100.0","84.5","AGGREGATED","100.0","22.8","AGGREGATED","100.0"
"Calgary Int'L CS","10-January-2018","-26.6","ACTUAL","100.0","-18.0","ACTUAL","100.0","-21.8","AGGREGATED","100.0","72.6","AGGREGATED","100.0","16.6","AGGREGATED","100.0"
