"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Max. (°C)","Air Temp. Avg. (°C)","Relative Humidity Avg. (%)","Wind Speed 10 m Avg. (km/h)","Heating Degree Days (DD)","Cooling Degree Days (DD)"
"Calgary Int'L CS","01-January-2018","-32.2","-3.6","-18.7","70.2","6.8","26.9","0.0"
"Calgary Int'L CS","02-January-2018","-11.6","0.8","-5.8","66.9","5.9","25.9","0.0"
"Calgary Int'L CS","03-January-2018","-10.1","6.4","-3.7","71.2","4.5","26.0","0.0"
"Calgary Int'L CS","04-January-2018","-12.0","4.0","-6.4","80.3","4.2","26.2","0.0"
"Calgary Int'L CS","05-January-2018","-12.4","9.6","-1.6","70.6","7.3","27.2","0.0"
"Calgary Int'L CS","06-January-2018","-4.0","7.9","3.3","63.6","16.4","25.9","0.0"
"Calgary Int'L CS","07-January-2018","-8.6","3.7","-1.2","65.7","9.8","25.8","0.0"
"Calgary Int'L CS","08-January-2018","-6.2","8.8","1.4","65.8","7.1","25.8","0.0"
"Calgary Int'L CS","09-January-2018","-18.1","-1.8","-10.0","84.5","22.8","27.0","0.0"
"Calgary Int'L CS","10-January-2018","-26.6","-18.0","-21.8","72.6","16.6","26.9","0.0"
"Calgary Int'L CS","11-January-2018","-29.5","-23.1","-25.8","75.6","9.5","27.5","0.0"
"Calgary Int'L CS","12-January-2018","-25.6","-16.7","-21.4","77.0","10.5","26.5","0.0"
"Calgary Int'L CS","13-January-2018","-17.1","1.9","-5.9","74.6","5.3","25.8","0.0"
"Calgary Int'L CS","14-January-2018","-8.8","2.7","-3.5","83.8","9.7","25.7","0.0"
"Calgary Int'L CS","15-January-2018","-10.4","-5.7","-8.6","89.6","19.1","25.5","0.0"
"Calgary Int'L CS","16-January-2018","-11.1","9.0","-0.8","66.3","11.5","25.9","0.0"
"Calgary Int'L CS","17-January-2018","-4.2","4.7","1.3","49.5","12.1","25.2","0.0"
"Calgary Int'L CS","18-January-2018","-5.8","7.1","2.9","59.9","17.4","23.6","0.0"
"Calgary Int'L CS","19-January-2018","-6.0","3.6","-0.7","45.3","16.4","22.6","0.0"
"Calgary Int'L CS","20-January-2018","-6.8","3.8","-1.0","47.2","13.3","23.5","0.0"
"Calgary Int'L CS","21-January-2018","-8.2","4.4","-2.2","57.8","7.8","23.4","0.0"
"Calgary Int'L CS","22-January-2018","-7.3","4.1","-1.0","45.9","13.9","23.4","0.0"
"Calgary Int'L CS","23-January-2018","-10.6","2.8","-4.5","59.4","8.2","24.1","0.0"
"Calgary Int'L CS","24-January-2018","-9.6","5.5","-3.5","70.4","4.8","24.2","0.0"
"Calgary Int'L CS","25-January-2018","-11.3","-5.7","-8.3","89.0","11.7","24.0","0.0"
"Calgary Int'L CS","26-January-2018","-14.6","-9.1","-11.4","71.8","12.3","24.5","0.0"
"Calgary Int'L CS","27-January-2018","-20.6","-14.2","-15.6","84.8","12.5","24.3","0.0"
"Calgary Int'L CS","28-January-2018","-20.4","-15.0","-16.9","76.9","13.8","25.2","0.0"
"Calgary Int'L CS","29-January-2018","-17.6","7.9","-5.5","70.4","11.6","23.7","0.0"
"Calgary Int'L CS","30-January-2018","-6.6","6.7","0.1","58.0","18.8","22.0","0.0"
"Calgary Int'L CS","31-January-2018","-18.9","-4.1","-16.1","79.3","13.5","23.0","0.0"
"Calgary Int'L CS","01-February-2018","-19.2","-11.7","-16.8","79.7","11.1","23.0","0.0"
"Calgary Int'L CS","02-February-2018","-21.5","-18.0","-19.3","81.9","10.6","23.5","0.0"
"Calgary Int'L CS","03-February-2018","-25.4","-18.3","-20.5","78.4","19.3","23.6","0.0"
"Calgary Int'L CS","04-February-2018","-26.2","-8.5","-17.6","78.2","7.5","23.1","0.0"
"Calgary Int'L CS","05-February-2018","-22.0","-12.2","-16.5","66.9","12.4","23.5","0.0"
"Calgary Int'L CS","06-February-2018","-20.7","-10.2","-13.5","61.3","16.3","25.0","0.0"
"Calgary Int'L CS","07-February-2018","-15.4","-9.0","-12.9","80.4","9.6","24.6","0.0"
"Calgary Int'L CS","08-February-2018","-27.9","-15.2","-18.8","81.7","10.0","25.5","0.0"
"Calgary Int'L CS","09-February-2018","-31.6","-11.2","-24.0","72.3","2.8","26.2","0.0"
"Calgary Int'L CS","10-February-2018","-24.2","-4.7","-12.1","65.6","9.2","26.3","0.0"
"Calgary Int'L CS","11-February-2018","-26.4","-7.0","-17.0","79.9","11.9","25.3","0.0"
"Calgary Int'L CS","12-February-2018","-28.9","2.4","-15.4","58.3","12.2","22.9","0.0"
"Calgary Int'L CS","13-February-2018","1.0","9.0","4.9","46.5","32.7","21.8","0.0"
"Calgary Int'L CS","14-February-2018","-14.7","4.0","-5.9","66.6","24.3","23.4","0.0"
"Calgary Int'L CS","15-February-2018","-20.9","-3.6","-13.0","66.4","12.6","22.1","0.0"
"Calgary Int'L CS","16-February-2018","-10.7","-1.7","-4.6","53.9","22.0","23.2","0.0"
"Calgary Int'L CS","17-February-2018","-14.3","-10.1","-12.9","78.7","8.1","23.5","0.0"
"Calgary Int'L CS","18-February-2018","-23.6","-14.1","-17.2","72.4","16.5","23.2","0.0"
"Calgary Int'L CS","19-February-2018","-24.0","-13.5","-18.5","63.4","7.6","22.7","0.0"
"Calgary Int'L CS","20-February-2018","-22.1","-9.9","-14.2","63.0","11.3","23.4","0.0"
"Calgary Int'L CS","21-February-2018","-24.1","-6.5","-15.9","62.7","4.8","23.1","0.0"
"Calgary Int'L CS","22-February-2018","-18.1","-5.1","-11.6","68.6","11.2","24.0","0.0"
"Calgary Int'L CS","23-February-2018","-22.1","-0.0","-10.3","58.5","18.7","24.5","0.0"
"Calgary Int'L CS","24-February-2018","-7.2","-1.0","-4.4","37.8","27.7","25.0","0.0"
"Calgary Int'L CS","25-February-2018","-11.1","0.7","-4.2","45.5","22.5","25.4","0.0"
"Calgary Int'L CS","26-February-2018","-16.0","-0.6","-7.7","51.8","9.8","24.8","0.0"
"Calgary Int'L CS","27-February-2018","-10.5","0.9","-2.7","39.3","24.3","23.3","0.0"
"Calgary Int'L CS","28-February-2018","-11.4","1.5","-4.6","45.9","11.9","23.4","0.0"
"Calgary Int'L CS","01-March-2018","-14.8","-6.1","-9.6","82.8","8.1","24.0","0.0"
"Calgary Int'L CS","02-March-2018","-10.8","-7.5","-9.6","89.8","14.7","23.6","0.0"
"Calgary Int'L CS","03-March-2018","-13.8","-10.0","-11.5","83.2","19.9","23.6","0.0"
"Calgary Int'L CS","04-March-2018","-22.1","-10.3","-14.5","74.5","6.5","24.8","0.0"
"Calgary Int'L CS","05-March-2018","-25.2","-7.6","-17.3","72.2","6.0","25.1","0.0"
"Calgary Int'L CS","06-March-2018","-23.3","-6.8","-15.5","71.6","8.4","25.5","0.0"
"Calgary Int'L CS","07-March-2018","-20.3","-6.1","-13.4","73.5","5.4","24.4","0.0"
"Calgary Int'L CS","08-March-2018","-18.5","-8.3","-11.7","82.9","11.2","23.1","0.0"
"Calgary Int'L CS","09-March-2018","-10.6","5.8","-4.4","72.6","13.4","21.6","0.0"
"Calgary Int'L CS","10-March-2018","-12.8","3.9","-4.5","68.1","8.3","21.0","0.0"
"Calgary Int'L CS","11-March-2018","-13.4","3.6","-4.9","67.1","4.0","19.4","0.0"
"Calgary Int'L CS","12-March-2018","-13.4","6.4","-3.6","65.6","7.5","18.2","0.0"
"Calgary Int'L CS","13-March-2018","-10.9","7.4","-2.3","61.7","4.9","18.6","0.0"
"Calgary Int'L CS","14-March-2018","-11.0","2.5","-4.7","76.6","5.4","18.9","0.0"
"Calgary Int'L CS","15-March-2018","-8.1","-2.4","-4.4","88.1","16.3","19.5","0.0"
"Calgary Int'L CS","16-March-2018","-11.5","3.7","-4.3","80.8","6.0","20.4","0.0"
"Calgary Int'L CS","17-March-2018","-3.9","0.7","-1.3","87.3","8.1","19.8","0.0"
