Station_Name,Year,Month,Monthly_Air_Temp,Monthly_Heating_Degree_Days,Monthly_Cooling_Degree_Days
Calgary Int'L CS,2018,1,-6.867741935483871,770.8999999999999,0.0
Calgary Int'L CS,2018,2,-12.4,851.2000000000002,0.0
Calgary Int'L CS,2018,3,-5.806451612903227,738.0,0.0
Calgary Int'L CS,2018,4,0.9766666666666663,510.7,0.0
Calgary Int'L CS,2018,5,14.12258064516129,131.40000000000003,11.2
Calgary Int'L CS,2018,6,14.936666666666667,98.7,6.800000000000001
Calgary Int'L CS,2018,7,17.145161290322584,52.89999999999999,26.399999999999995
Calgary Int'L CS,2018,8,16.654838709677424,75.5,33.8
Calgary Int'L CS,2018,9,6.756666666666666,337.3,0.0
Calgary Int'L CS,2018,10,3.5935483870967735,446.6,0.0
Calgary Int'L CS,2018,11,-0.6566666666666667,559.6999999999999,0.0
Calgary Int'L CS,2018,12,-3.5161290322580645,666.9999999999999,0.0
Calgary Int'L CS,2019,1,-3.938709677419355,680.0999999999998,0.0
Calgary Int'L CS,2019,2,-18.524999999999995,1022.6999999999999,0.0
Calgary Int'L CS,2019,3,-3.293548387096774,660.1,0.0
Calgary Int'L CS,2019,4,4.826666666666667,395.2,0.0
Calgary Int'L CS,2019,5,8.90967741935484,281.79999999999995,0.0
Calgary Int'L CS,2019,6,13.606666666666664,133.0,1.1999999999999993
Calgary Int'L CS,2019,7,15.66451612903226,81.39999999999998,9.0
Calgary Int'L CS,2019,8,15.27741935483871,92.60000000000002,8.200000000000003
Calgary Int'L CS,2019,9,10.736666666666668,217.90000000000003,0.0
Calgary Int'L CS,2019,10,2.016129032258065,495.5000000000001,0.0
Calgary Int'L CS,2019,11,-2.25,607.5,0.0
Calgary Int'L CS,2019,12,-4.864516129032258,708.8,0.0
Calgary Int'L CS,2020,1,-8.803225806451614,830.8999999999999,0.0
Calgary Int'L CS,2020,2,-3.668965517241378,628.4,0.0
Calgary Int'L CS,2020,3,-4.5516129032258075,699.0999999999999,0.0
Calgary Int'L CS,2020,4,2.2766666666666664,471.6999999999999,0.0
Calgary Int'L CS,2020,5,9.509677419354837,263.20000000000005,0.0
Calgary Int'L CS,2020,6,13.783333333333335,127.2,0.6999999999999993
Calgary Int'L CS,2020,7,16.60322580645161,61.39999999999999,18.099999999999994
Calgary Int'L CS,2020,8,17.22258064516129,54.800000000000004,30.699999999999992
Calgary Int'L CS,2020,9,12.62,162.3,0.8999999999999986
Calgary Int'L CS,2020,10,2.4870967741935486,480.9000000000001,0.0
Calgary Int'L CS,2020,11,-0.6799999999999997,560.4,0.0
Calgary Int'L CS,2020,12,-2.464516129032258,634.4,0.0
Calgary Int'L CS,2021,1,-4.529032258064516,698.4,0.0
Calgary Int'L CS,2021,2,-12.628571428571428,857.6,0.0
Calgary Int'L CS,2021,3,1.7967741935483867,502.29999999999995,0.0
Calgary Int'L CS,2021,4,4.203333333333333,413.90000000000003,0.0
Calgary Int'L CS,2021,5,8.996774193548385,279.1,0.0
Calgary Int'L CS,2021,6,17.540000000000003,76.6,62.8
Calgary Int'L CS,2021,7,19.3483870967742,12.599999999999998,54.400000000000006
Calgary Int'L CS,2021,8,16.609677419354842,82.30000000000001,39.199999999999996
Calgary Int'L CS,2021,9,12.993333333333332,152.60000000000002,2.3999999999999986
Calgary Int'L CS,2021,10,5.277419354838709,394.40000000000003,0.0
Calgary Int'L CS,2021,11,1.2699999999999998,501.90000000000003,0.0
Calgary Int'L CS,2021,12,-12.90967741935484,958.2,0.0
