year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,3,31,15,0,28511.9,28493.46,28589.21,28467.84,8.76812872,484
2023,3,31,16,0,28500,28461,28545.22,28447.8,5.00538832,187
2023,3,31,17,0,28439.07,28430.92,28477,28400,1.00798854,67
2023,3,31,18,0,28337.25,28325,28369.21,28325,2.01709491,80
2023,3,31,19,0,28319.14,28335.09,28350.1,28285.83,5.61809041,113
2023,3,31,20,0,28480.9,28413.33,28481.4,28401.36,8.5258455,161
2023,3,31,21,0,28397.51,28388.89,28421.54,28382.22,3.51564327,97
2023,3,31,22,0,28489.97,28497.46,28544.25,28456.68,2.51298421,155
2023,3,31,23,0,28592.21,28541.32,28607.14,28539.93,4.48618719,124
2023,4,1,0,0,28486.16,28509.89,28514.25,28461.04,0.65115997,37
2023,4,1,1,0,28459.15,28449.51,28471.27,28431.78,1.06977085,45
2023,4,1,2,0,28611.07,28689.52,28822.66,28611.07,5.26287184,257
2023,4,1,3,0,28612.42,28595.46,28631.46,28559.67,1.0438456,56
2023,4,1,4,0,28552.54,28583.85,28602.47,28540.69,0.44142251,25
2023,4,1,5,0,28599.38,28579.78,28605.71,28574.26,0.20342314,27
2023,4,1,6,0,28580.14,28550.01,28587.85,28534.83,0.41624761,43
2023,4,1,7,0,28482.84,28419.8,28482.85,28419.8,0.17720971,25
2023,4,1,8,0,28445.07,28439.77,28455.07,28431.71,0.05728289,15
2023,4,1,9,0,28453.56,28440.42,28463.54,28440.41,0.12141493,16
2023,4,1,10,0,28442.53,28420.61,28450.12,28420.58,0.19149941,27
2023,4,1,11,0,28490.91,28458.78,28493.81,28458.78,0.07737963,19
2023,4,1,12,0,28399.56,28397.46,28405.33,28345.32,0.86683231,52
2023,4,1,13,0,28444.92,28444,28460.92,28436.93,0.30341482,34
2023,4,1,14,0,28450.01,28425.8,28453.91,28425.8,0.87050858,37
2023,4,1,15,0,28341.19,28340.21,28373,28264.52,3.89735843,125
2023,4,1,16,0,28421.4,28456.79,28456.79,28405.34,0.44779905,31
2023,4,1,17,0,28359.19,28405.59,28405.59,28359.19,0.99300191,25
2023,4,1,18,0,28395.73,28405,28411.34,28389.17,2.74410064,91
2023,4,1,19,0,28389.1,28387.35,28411.36,28385.11,1.48745716,52
2023,4,1,20,0,28405.62,28427.8,28462.09,28399.93,2.27677804,78
2023,4,1,21,0,28468.72,28500.79,28534.42,28452,2.95838158,125
2023,4,1,22,0,28499.16,28512.63,28531.13,28497,0.41531965,113
2023,4,1,23,0,28540.56,28554.72,28559.85,28531.72,0.54032111,72
2023,4,2,0,0,28474.62,28493.79,28499.99,28473.72,0.53108277,79
2023,4,2,1,0,28384.32,28409.09,28421.04,28384.32,0.50965009,79
2023,4,2,2,0,28411.17,28438.76,28440,28395.62,0.37223611,61
2023,4,2,3,0,28424.38,28434.96,28437.22,28424.38,0.24404444,67
2023,4,2,4,0,28493.13,28490.33,28510.86,28480.01,1.45523563,83
2023,4,2,5,0,28411.08,28424.19,28424.19,28411.07,0.64712977,60
2023,4,2,6,0,28491.39,28450.48,28491.87,28450.48,0.0808335,41
2023,4,2,7,0,28490.08,28495.46,28502.84,28473.14,0.15555523,36
2023,4,2,8,0,28438.46,28411.07,28446.32,28411.07,0.06818973,29
2023,4,2,9,0,28395.74,28407.72,28411.85,28391.62,0.05477698,16
2023,4,2,10,0,28455.55,28430.03,28455.55,28420.64,0.62737018,34
2023,4,2,11,0,28401.99,28386.51,28401.99,28351.99,1.4784025,89
2023,4,2,12,0,28378.88,28374.03,28391.97,28343.59,3.07142242,68
2023,4,2,13,0,28296.86,28232.6,28305.67,28206,6.30103805,160
2023,4,2,14,0,28318.64,28288.07,28332.07,28284.76,2.24252889,65
2023,4,2,15,0,28301.99,28140.83,28302,28075.48,22.07643209,302
2023,4,2,16,0,28150.95,28144.18,28169.57,28132.45,1.67302051,80
2023,4,2,17,0,28156.19,28160.15,28187.32,28146.93,0.17528867,54
2023,4,2,18,0,28222.45,28223.98,28247.38,28222.45,0.29467602,45
2023,4,2,19,0,28191.55,28165.04,28200.98,28151.99,2.51791928,84
2023,4,2,20,0,27956.59,28008.79,28010.38,27937.01,0.85533341,80
2023,4,2,21,0,28075.22,28150,28161.38,28071.65,5.69192309,90
2023,4,2,22,0,28038.65,27918.21,28038.65,27904.76,0.85404497,117
2023,4,2,23,0,28116.85,28112.65,28129.58,28062.51,0.46261018,68
2023,4,3,0,0,28200.01,28177.44,28200.01,28160.53,3.68274341,116
2023,4,3,1,0,28156.9,28108.55,28156.9,28102.51,0.2414142,58
2023,4,3,2,0,27710,27795.32,27811.22,27680.65,5.83202055,129
2023,4,3,3,0,27738.84,27702.28,27747.8,27650.03,1.19017733,99
2023,4,3,4,0,27769.57,27727.35,27771.05,27724.68,0.39282141,53
2023,4,3,5,0,27714.39,27711.65,27733.92,27707.44,1.8945424,85
2023,4,3,6,0,27694.92,27701.45,27705.53,27670.84,0.29517942,31
2023,4,3,7,0,27794.46,27811.61,27841.68,27790.59,1.00041809,60
2023,4,3,8,0,27973.28,28121.52,28188.74,27973.28,3.12403068,161
2023,4,3,9,0,28362.45,28315.58,28373.78,28315.58,0.2017342,35
2023,4,3,10,0,28353.91,28332.57,28370.02,28329.03,0.63328643,43
2023,4,3,11,0,28319.15,28242.96,28319.15,28242.95,0.82397586,58
2023,4,3,12,0,28267.55,28245.74,28274.19,28220.25,7.73153909,124
2023,4,3,13,0,28176.12,28140,28186.01,28136.5,1.14773589,73
2023,4,3,14,0,28290.71,28250.9,28315.92,28239.79,2.26609497,130
2023,4,3,15,0,28005,27973.69,28059.54,27973.58,0.78670247,149
2023,4,3,16,0,28066.57,28105.12,28138.32,28042.82,8.13383255,1090
2023,4,3,17,0,27943.69,27996.25,28016.15,27911.6,3.25308538,569
2023,4,3,18,0,27986.27,27991.06,28044.41,27981,5.5156409,187
2023,4,3,19,0,28196.65,28147.37,28236.92,28106.86,4.04756197,137
2023,4,3,20,0,28108.8,27721.7,28108.8,27690.5,15.3086617,344
2023,4,3,21,0,27584.15,27434.3,27584.15,27250,30.26674948,597
2023,4,3,22,0,27755.96,27755.4,27778.91,27682.81,3.45469333,109
2023,4,3,23,0,27804.24,27891.42,28018.51,27802,5.46568226,193
2023,4,4,1,0,27780.61,27691.05,27786.44,27509.93,3.40556701,164
2023,4,4,2,0,27837.2,27844.74,27848.14,27773.56,1.10605677,76
2023,4,4,3,0,27871.72,27877.53,27882.62,27858.5,0.60657402,57
2023,4,4,4,0,27865.51,27889.69,27894.41,27865.5,0.63690064,60
2023,4,4,5,0,27829.48,27861.45,27861.45,27829.48,0.18639294,26
2023,4,4,6,0,27905.57,27887.06,27926.09,27884.36,0.28150367,53
2023,4,4,7,0,28098.99,28107.13,28141.52,28068.72,2.63418985,52
2023,4,4,8,0,28045.1,28014,28045.18,28014,1.93292936,69
2023,4,4,9,0,28112.39,28050.35,28147.76,28041.91,0.10926318,41
2023,4,4,10,0,28211.64,28174.91,28288,28174.91,5.56479652,132
2023,4,4,11,0,28234.61,28332,28448.69,28211.95,12.97045183,292
2023,4,4,12,0,28303.59,28229.97,28342,28229.97,5.67156688,90
2023,4,4,13,0,28280.41,28301.6,28396.54,28254.09,3.2077767,131
2023,4,4,14,0,28143.13,28199.16,28228.3,28131.7,5.86775174,135
2023,4,4,15,0,28147.4,28086.91,28164.28,28057.32,6.12068514,214
2023,4,4,17,0,28112.91,28103.95,28165.2,28059.4,7.7804597,142
2023,4,4,18,0,28233.42,28178.29,28268.26,28178.28,8.38457732,150
2023,4,4,19,0,28131.33,28129.58,28138.15,28059.6,4.27652224,92
2023,4,4,20,0,28193.55,28199.3,28201.99,28179.93,1.13004333,55
2023,3,31,15,15,28493.46,28388.26,28493.46,28372.55,2.48595849,206
2023,3,31,16,15,28483.41,28412.78,28483.41,28407.79,5.48403204,162
2023,3,31,17,15,28430.92,28395.42,28430.92,28375.73,2.7588359,121
2023,3,31,18,15,28325.62,28329.74,28349.61,28275,3.41594188,138
2023,3,31,19,15,28350.1,28408.1,28408.1,28315.75,2.55759994,133
2023,3,31,20,15,28417.03,28373.29,28435.75,28354.25,3.72659692,159
2023,3,31,21,15,28394.03,28454.47,28478.34,28340.44,22.88852779,130
2023,3,31,22,15,28507.13,28570.01,28618.59,28507.13,10.46793051,205
2023,3,31,23,15,28536.01,28557.78,28557.78,28528.51,4.10890269,181
2023,4,1,0,15,28517.64,28505.01,28564.37,28483.38,1.91470674,129
2023,4,1,1,15,28449.51,28460.01,28472.62,28444.7,1.23740895,62
2023,4,1,2,15,28686.96,28615.53,28686.96,28559.5,1.55125879,128
